Game,Opp,W/L,R,RA,D/N,Attendance,Time,Where,Inn
1,NYM,L,0,2,D,42263,164,HOME,9
2,NYM,L,8,11,D,33765,230,HOME,9
3,NYM,W,6,5,D,23430,195,HOME,9
4,PHI,L,2,8,N,35920,210,HOME,9
5,PHI,W,9,8,D,23050,233,HOME,9
6,NYM,W,4,0,D,44424,199,AWAY,9
7,NYM,L,5,6,D,35156,193,AWAY,9
8,NYM,W,12,9,D,40681,222,AWAY,9
9,PHI,L,3,4,N,28212,152,AWAY,9
10,PHI,W,10,6,N,38073,231,AWAY,10
11,PHI,W,15,1,N,30805,215,AWAY,9
12,PIT,L,3,6,N,27084,208,HOME,10
13,PIT,W,3,2,D,32103,142,HOME,9
14,PIT,L,3,4,D,22347,167,HOME,9
15,SFG,L,3,7,N,22334,196,HOME,9
16,SFG,W,9,6,N,22611,187,HOME,9
17,SFG,W,4,2,D,26085,172,HOME,9
18,MIA,L,2,3,N,8199,172,AWAY,9
19,MIA,L,3,9,N,9910,192,AWAY,9
20,MIA,W,5,0,D,7412,165,AWAY,9
21,COL,L,5,7,N,20517,180,AWAY,9
22,COL,W,6,3,N,24456,194,AWAY,9
23,COL,L,5,9,D,33135,168,AWAY,9
24,SDP,L,3,4,N,27193,182,HOME,9
25,SDP,L,3,8,D,35422,225,HOME,10
26,SDP,W,7,6,D,30186,243,HOME,11
27,STL,L,3,6,N,17890,185,HOME,9
28,STL,L,2,3,N,19753,189,HOME,9
29,STL,L,1,5,N,22157,182,HOME,9
30,STL,W,2,1,D,24338,180,HOME,9
31,PHI,L,2,4,N,33125,162,AWAY,9
32,PHI,W,10,8,N,43319,225,AWAY,9
33,PHI,L,1,7,D,40497,183,AWAY,9
34,MIL,L,3,5,N,29299,213,AWAY,9
35,MIL,L,0,6,N,31023,180,AWAY,9
36,MIL,L,3,7,D,30333,204,AWAY,9
37,LAD,W,6,0,N,42851,191,AWAY,9
38,LAD,L,0,5,N,43533,178,AWAY,9
39,LAD,W,5,2,N,53647,178,AWAY,9
40,LAD,L,0,6,D,45667,166,AWAY,9
41,NYM,L,2,6,N,23315,158,HOME,9
42,NYM,W,5,1,N,29673,148,HOME,9
43,NYM,W,7,6,D,28807,196,HOME,9
44,CHC,L,6,14,N,33296,249,HOME,9
45,CHC,W,5,2,N,37582,176,HOME,9
46,CHC,L,5,6,N,23244,195,HOME,9
47,NYM,L,3,5,N,22335,192,AWAY,9
48,NYM,W,5,6,N,24631,185,AWAY,9
49,NYM,L,1,6,N,27188,179,AWAY,9
50,NYM,L,4,6,D,29962,173,AWAY,9
51,MIA,W,12,10,N,29173,239,HOME,9
52,MIA,W,5,0,D,33163,145,HOME,9
53,MIA,W,9,6,D,26365,186,HOME,9
54,MIA,L,2,3,D,21048,180,HOME,9
55,ATL,W,5,4,N,27573,201,AWAY,9
56,ATL,W,14,4,N,37726,191,AWAY,9
57,CIN,L,3,9,N,24358,169,AWAY,9
58,CIN,W,5,2,D,27748,179,AWAY,9
59,CIN,W,4,1,D,22801,187,AWAY,9
60,CHW,W,9,5,N,32513,213,HOME,9
61,CHW,W,6,4,D,28910,187,HOME,9
62,SDP,L,4,5,N,19908,187,AWAY,9
63,SDP,L,4,5,N,21645,166,AWAY,9
64,SDP,W,4,1,N,30319,159,AWAY,9
65,SDP,W,5,2,D,30518,176,AWAY,9
66,CHW,W,12,1,N,16305,186,AWAY,9
67,CHW,L,5,7,N,16790,199,AWAY,9
68,ARI,L,0,5,N,24909,135,HOME,9
69,ARI,W,7,3,N,29853,177,HOME,9
70,ARI,L,3,10,D,38044,210,HOME,9
71,ARI,W,15,5,D,29032,194,HOME,9
72,PHI,W,6,2,D,17961,166,HOME,9
73,PHI,W,2,0,N,24220,185,HOME,9
74,PHI,W,7,4,N,31329,185,HOME,9
75,ATL,W,4,3,N,34212,181,HOME,9
76,ATL,L,9,13,N,37492,222,HOME,9
77,ATL,L,3,4,D,34256,189,HOME,10
78,MIA,W,6,1,N,7327,147,AWAY,9
79,MIA,W,7,5,N,6276,199,AWAY,9
80,MIA,W,8,5,N,7751,171,AWAY,9
81,DET,W,3,1,N,20877,184,AWAY,9
82,DET,L,5,7,D,27716,193,AWAY,9
83,DET,W,2,1,D,21052,173,AWAY,9
84,MIA,W,3,2,N,21361,181,HOME,9
85,MIA,W,3,1,N,25483,187,HOME,9
86,MIA,W,5,2,D,27350,197,HOME,9
87,KCR,L,4,7,N,25213,280,HOME,11
88,KCR,W,6,0,D,27863,164,HOME,9
89,KCR,W,5,2,D,21873,157,HOME,9
90,PHI,W,4,0,N,42318,195,AWAY,9
91,PHI,W,4,3,N,43732,223,AWAY,9
92,PHI,L,3,4,D,43075,174,AWAY,9
93,BAL,W,8,1,N,23362,190,AWAY,9
94,BAL,L,2,9,N,20786,171,AWAY,9
95,ATL,W,13,4,N,39363,224,AWAY,9
96,ATL,L,3,4,N,39344,210,AWAY,9
97,ATL,W,5,3,N,42467,194,AWAY,9
98,ATL,L,1,7,N,31848,182,AWAY,9
99,COL,W,11,1,N,22612,217,HOME,9
100,COL,W,3,2,D,14628,183,HOME,9
101,COL,W,2,0,N,23843,187,HOME,9
102,COL,L,7,8,D,26831,226,HOME,9
103,LAD,L,2,4,N,37491,200,HOME,9
104,LAD,L,3,9,D,39616,186,HOME,9
105,LAD,W,11,4,D,32425,189,HOME,9
106,ATL,W,6,3,N,24292,203,HOME,9
107,ATL,L,8,11,N,26566,227,HOME,9
108,ATL,L,4,5,D,31576,194,HOME,10
109,ARI,W,3,0,N,24298,163,AWAY,9
110,ARI,L,7,18,N,33966,226,AWAY,9
111,ARI,L,5,7,D,22976,187,AWAY,9
112,SFG,W,4,0,N,32366,192,AWAY,9
113,SFG,W,5,3,N,31628,165,AWAY,9
114,SFG,W,4,1,D,30958,179,AWAY,9
115,NYM,L,6,7,N,39602,200,AWAY,9
116,NYM,L,3,4,N,43875,154,AWAY,9
117,NYM,W,7,4,D,41000,215,AWAY,9
118,CIN,W,7,6,N,22394,191,HOME,9
119,CIN,W,3,1,N,30130,158,HOME,9
120,CIN,W,17,7,D,23596,218,HOME,9
121,MIL,W,2,1,N,30091,180,HOME,9
122,MIL,L,14,15,N,36953,340,HOME,14
123,MIL,W,16,8,D,30571,204,HOME,9
124,PIT,W,13,0,N,11284,196,AWAY,9
125,PIT,L,1,4,N,10449,180,AWAY,9
126,PIT,W,11,1,N,10577,174,AWAY,9
127,PIT,W,7,1,N,10587,199,AWAY,9
128,CHC,W,9,3,D,39889,190,AWAY,9
129,CHC,W,7,2,D,40658,236,AWAY,9
130,CHC,W,7,5,D,40518,275,AWAY,11
131,BAL,L,0,2,N,24946,172,HOME,9
132,BAL,W,8,4,N,25174,192,HOME,9
133,MIA,L,7,6,N,26201,215,HOME,9
134,MIA,W,7,0,N,27539,151,HOME,9
135,MIA,W,9,3,D,29345,166,HOME,9
136,NYM,L,3,7,D,25329,188,HOME,9
137,NYM,L,11,10,N,20759,197,HOME,9
138,NYM,L,4,8,D,20237,204,HOME,9
139,ATL,L,2,4,N,28831,177,AWAY,9
140,ATL,L,3,4,N,37181,200,AWAY,9
141,ATL,L,4,5,N,40467,209,AWAY,9
142,ATL,W,9,4,D,31789,196,AWAY,9
143,MIN,L,0,5,N,24813,152,AWAY,9
144,MIN,W,6,2,N,20062,192,AWAY,9
145,MIN,W,12,6,N,19167,225,AWAY,9
146,ATL,L,0,5,N,39730,196,HOME,9
147,ATL,L,1,10,D,39664,209,HOME,9
148,ATL,W,7,0,D,29350,183,HOME,9
149,STL,L,2,4,N,42812,184,AWAY,9
150,STL,W,6,2,N,44061,201,AWAY,9
151,STL,L,1,5,D,37669,175,AWAY,9
152,MIA,W,6,4,N,12775,193,AWAY,9
153,MIA,W,10,4,N,18085,260,AWAY,10
154,MIA,L,3,5,D,19709,193,AWAY,9
155,PHI,W,7,2,N,19788,199,HOME,9
156,PHI,W,4,1,D,23442,187,HOME,9
157,PHI,W,6,5,N,22214,186,HOME,9
158,PHI,W,5,2,N,22091,165,HOME,9
159,PHI,W,6,3,D,22253,206,HOME,9
160,CLE,W,8,2,N,27434,164,HOME,9
161,CLE,W,10,7,D,38435,190,HOME,9
162,CLE,W,8,2,D,36764,170,HOME,9
